Title,Genres,Score,Popularity,Year
Isekai Quartet 2,"Comedy, Fantasy, Slice of Life",72.0,56558,2020
Ishuzoku Reviewers,"Comedy, Ecchi, Fantasy",72.0,92137,2020
"Onii-chan, Asa made Zutto Gyutte Shite!",Hentai,64.0,3091,2020
GREAT PRETENDER,"Action, Comedy, Drama, Thriller",82.0,189769,2020
ID: INVADED,"Drama, Mystery, Psychological, Sci-Fi, Thriller",77.0,104999,2020
Deca-Dence,"Action, Adventure, Sci-Fi",71.0,84884,2020
BNA,"Action, Comedy, Fantasy",72.0,110828,2020
Golden Kamuy 3rd Season,"Action, Adventure, Comedy",83.0,42252,2020
Koi to Producer: EVOL×LOVE,"Drama, Romance, Sci-Fi",58.0,19212,2020
Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki desu ka? OVA,"Action, Comedy, Ecchi, Fantasy",58.0,15002,2020
Gibiate,"Action, Horror",32.0,18834,2020
Shironeko Project: ZERO CHRONICLE,"Action, Adventure, Fantasy, Romance",51.0,25116,2020
Microphone Soul Spinners: Kotodama Shoujo,"Comedy, Music",43.0,689,2020
Arte,"Drama, Romance, Slice of Life",69.0,36930,2020
Oda Cinnamon Nobunaga,"Comedy, Slice of Life",59.0,5924,2020
ARP Backstage Pass,Music,48.0,2273,2020
Maesetsu!,"Comedy, Slice of Life",52.0,5071,2020
Aggressive Retsuko Season 3,"Comedy, Music, Slice of Life",77.0,24778,2020
WAVE!! Surfing Yappe!!,"Slice of Life, Sports",58.0,14489,2020
A3! SEASON AUTUMN & WINTER,"Comedy, Drama",71.0,7542,2020
Sekaiichi Hatsukoi: Propose-hen,"Comedy, Drama, Romance",71.0,5991,2020
Mewkledreamy,"Adventure, Comedy, Fantasy, Mahou Shoujo",68.0,4788,2020
Crayon Shin-chan: Gekitotsu! Rakugaki Kingdom to Hobo Yonin no Yuusha,"Comedy, Fantasy",67.0,972,2020
Gal to Kyouryuu,"Comedy, Slice of Life",60.0,13065,2020
Ikebukuro West Gate Park,"Drama, Mystery",65.0,38372,2020
Maou-jou de Oyasumi,"Comedy, Fantasy, Slice of Life",78.0,62754,2020
Shin Sakura Taisen the Animation,"Adventure, Mecha, Sci-Fi",53.0,6405,2020
Runway de Waratte,"Drama, Slice of Life",73.0,35329,2020
Given Movie,"Drama, Music, Romance",80.0,83479,2020
Fruits Basket: 2nd Season,"Comedy, Drama, Psychological, Romance, Slice of Life, Supernatural",85.0,155251,2020
Haikyuu!! Riku VS Kuu,"Comedy, Drama, Sports",78.0,106282,2020
Date A Bullet: Dead or Bullet,Sci-Fi,73.0,27770,2020
Ongaku,"Comedy, Music, Slice of Life",75.0,7296,2020
Housekishou Richard-shi no Nazo Kantei,"Drama, Mystery, Slice of Life",69.0,19027,2020
Peter Grill to Kenja no Jikan,"Comedy, Ecchi, Fantasy",52.0,49215,2020
Zenonzard: THE ANIMATION,"Action, Drama, Sci-Fi",55.0,6305,2020
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,"Action, Adventure, Comedy, Fantasy, Romance",74.0,160402,2020
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II: Mujintou ni Yakusou wo Motomeru no wa Machigatteiru Darou ka,"Adventure, Comedy, Ecchi, Fantasy, Romance",63.0,31792,2020
Kimetsu no Yaiba: Mugen Ressha-hen,"Action, Adventure, Drama, Fantasy, Mystery, Supernatural",84.0,404302,2020
Chuubyou Gekihatsu Boy: Otoko ni Umareta Shukumei Dakara,"Comedy, Slice of Life",65.0,2339,2020
Naka no Hito Genome [Jikkyouchuu]: KNOTS OF MEMORIES,"Comedy, Drama",66.0,6188,2020
Chou Futsuu Toshi Kashiwa Densetsu R,"Comedy, Fantasy",42.0,1548,2020
Murenase! Seton Gakuen,"Comedy, Ecchi, Romance",67.0,48623,2020
Strike the Blood IV,"Action, Ecchi, Fantasy, Supernatural",67.0,23843,2020
Mahouka Koukou no Rettousei: Raihousha-hen,"Action, Romance, Sci-Fi, Supernatural",71.0,95331,2020
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou","Action, Comedy, Fantasy",72.0,210059,2020
Major 2nd Season 2,"Comedy, Drama, Sports",74.0,5885,2020
Strike the Blood: Kieta Seisou-hen,"Action, Ecchi, Fantasy, Supernatural",66.0,8887,2020
Shadowverse,Fantasy,52.0,5951,2020
Nami yo Kiitekure,"Comedy, Drama, Romance, Slice of Life",70.0,24788,2020
Nihon Chinbotsu: 2020,"Drama, Sci-Fi",63.0,48604,2020
Chii-chan Kaihatsu Nikki,Hentai,59.0,2292,2020
Youma Shoukan e Youkoso!,Hentai,63.0,2939,2020
Appare-Ranman!,"Action, Adventure, Comedy",70.0,38648,2020
Assault Lily: BOUQUET,"Action, Fantasy",61.0,30376,2020
KING OF PRISM ALL STARS: Prism Show☆Best Ten,"Music, Sports",56.0,637,2020
Mashin Eiyuuden Wataru: Shichi Kon no Ryuujinmaru,"Action, Adventure, Comedy, Mecha, Sci-Fi",51.0,466,2020
Majo no Tabitabi,"Adventure, Fantasy, Slice of Life",74.0,120711,2020
Precure Miracle Leap: Minna to no Fushigi na Ichinichi,"Adventure, Fantasy, Mahou Shoujo, Sci-Fi",71.0,1564,2020
Kaguya-sama wa Kokurasetai?: Tensaitachi no Renai Zunousen,"Comedy, Psychological, Romance, Slice of Life",86.0,357710,2020
"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen","Action, Fantasy, Romance",65.0,83013,2020
7SEEDS 2,"Action, Drama, Sci-Fi",69.0,17596,2020
Healin' Good♥Precure,"Action, Fantasy, Mahou Shoujo",66.0,5627,2020
Umibe no Étranger,"Drama, Romance, Slice of Life",77.0,64373,2020
No Guns Life 2,"Action, Drama, Sci-Fi",68.0,20582,2020
Dokyuu Hentai HxEros,"Action, Comedy, Ecchi, Romance, Supernatural",54.0,40922,2020
Tonari no Ie no Anette-san THE ANIMATION,Hentai,64.0,2412,2020
Yes ka No ka Hanbun ka,Romance,68.0,17068,2020
Enjo Kouhai,Hentai,69.0,3871,2020
Shoujo☆Kageki Revue Starlight: Rondo Rondo Rondo,"Action, Drama, Music",76.0,4751,2020
ARGONAVIS from BanG Dream!,"Drama, Music",62.0,4707,2020
Kingdom 3rd Season,Action,85.0,18900,2020
Null Peta: Doki♥ Nullnull Petapeta! Mizugi Darake no Onee-chan Taikai!,"Comedy, Ecchi, Sci-Fi",52.0,1927,2020
Shikijou Kyoudan,Hentai,65.0,2481,2020
Monster Musume no Oisha-san,"Comedy, Ecchi, Fantasy, Romance",62.0,52545,2020
Kakushigoto,"Comedy, Slice of Life",78.0,93016,2020
Natsunagu!,"Drama, Slice of Life",56.0,8825,2020
