Title,Genres,Score,Popularity,Year
Fumetsu no Anata e,"Adventure, Drama, Fantasy, Psychological, Supernatural",81.0,250137,2021
Koi to Yobu ni wa Kimochi Warui,"Comedy, Romance, Slice of Life",68.0,57581,2021
Log Horizon: Entaku Houkai,"Action, Adventure, Comedy, Fantasy",69.0,59123,2021
Love Live! Superstar!!,"Music, Slice of Life",78.0,25441,2021
MARS RED,"Action, Drama, Sci-Fi, Supernatural",63.0,40290,2021
Saezuru Tori wa Habatakanai: Don't stay gold,"Drama, Romance",68.0,4185,2021
Sore Ike! Anpanman: Fuwa Fuwa Fuwaly to Kumo no Kuni,"Comedy, Fantasy",,163,2021
Tokyo 7th Sisters: Bokura wa Aozora ni Naru,Music,60.0,1933,2021
Ura Sekai Picnic,"Adventure, Fantasy, Mystery, Sci-Fi, Supernatural",63.0,40648,2021
Mairimashita! Iruma-kun 2,"Comedy, Fantasy, Supernatural",80.0,80843,2021
"Sentouin, Hakenshimasu!","Action, Adventure, Comedy, Ecchi, Fantasy, Sci-Fi",68.0,97122,2021
86: Eighty Six,"Action, Drama, Mecha, Sci-Fi",82.0,227325,2021
BanG Dream! FILM LIVE 2nd Stage,Music,77.0,3311,2021
Kiniro Mosaic: Thank you!!,"Comedy, Slice of Life",75.0,5322,2021
100-Nichikan Ikita Wani,"Drama, Slice of Life",54.0,849,2021
Tensei Shitara Slime Datta Ken: Tensura Nikki,"Adventure, Comedy, Fantasy, Slice of Life",74.0,81004,2021
Tensei Shitara Slime Datta Ken 2nd Season Part 2,"Action, Adventure, Comedy, Fantasy",82.0,203601,2021
Nanatsu no Taizai: Funnu no Shinpan,"Action, Adventure, Comedy, Ecchi, Fantasy, Supernatural",65.0,114097,2021
Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,"Action, Fantasy, Supernatural",76.0,24430,2021
WIXOSS DIVA(A)LIVE,"Music, Sci-Fi",50.0,4082,2021
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden 2nd SEASON - Kakusei Zenya,"Drama, Mahou Shoujo, Mystery, Psychological, Thriller",69.0,19659,2021
Maiko-san Chi no Makanai-san,Slice of Life,67.0,6523,2021
Majutsushi Orphen Hagure Tabi: Kimluck-hen,"Action, Adventure, Fantasy",60.0,6940,2021
Boku no Hero Academia 5,"Action, Adventure, Comedy, Sci-Fi",73.0,332640,2021
Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω,"Comedy, Ecchi, Fantasy",66.0,103281,2021
Hataraku Saibou BLACK,"Action, Drama, Sci-Fi",73.0,57417,2021
ARIA The CREPUSCOLO,"Fantasy, Sci-Fi, Slice of Life",78.0,6412,2021
Genjitsu Shugi Yuusha no Oukoku Saikenki,"Action, Adventure, Fantasy, Romance",71.0,102419,2021
Tenchi Souzou Design-bu,"Comedy, Fantasy, Slice of Life",69.0,23093,2021
BanG Dream! Episode of Roselia I: Yakusoku,Music,75.0,4667,2021
BanG Dream! Episode of Roselia II: Song I am.,Music,79.0,4197,2021
Megami-ryou no Ryoubo-kun.,"Comedy, Ecchi, Romance, Slice of Life",62.0,53169,2021
Kyuuketsuki Sugu Shinu,"Comedy, Supernatural",70.0,27912,2021
Macross Δ: Zettai LIVE!!!!!!,"Action, Mecha, Music, Romance, Sci-Fi",77.0,3659,2021
Ore dake Haireru Kakushi Dungeon,"Action, Adventure, Comedy, Ecchi, Fantasy, Romance",60.0,99508,2021
Kamiarizuki no Kodomo,"Adventure, Supernatural",63.0,7684,2021
Fate/kaleid liner Prisma☆Illya: Licht - Namae no Nai Shoujo,"Action, Drama, Fantasy, Mahou Shoujo",71.0,12318,2021
Yuuki Yuuna wa Yuusha de Aru Churutto!,"Comedy, Slice of Life",59.0,2141,2021
Soukou Musume Senki,"Action, Mecha, Sci-Fi",52.0,4803,2021
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,"Action, Adventure, Drama, Fantasy, Psychological, Romance, Thriller",84.0,227436,2021
SHAMAN KING (2021),"Action, Adventure, Comedy, Supernatural",64.0,68704,2021
EDENS ZERO,"Action, Adventure, Comedy, Fantasy, Sci-Fi",70.0,74093,2021
Thunderbolt Fantasy: Touriken Yuuki 3,"Action, Drama, Fantasy",79.0,1891,2021
Tokyo Revengers,"Action, Drama, Romance, Supernatural",77.0,364824,2021
Bungou Stray Dogs Wan!,"Comedy, Slice of Life, Supernatural",79.0,32143,2021
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta… X,"Comedy, Fantasy, Romance, Slice of Life",71.0,63452,2021
Subarashiki Kono Sekai The Animation,"Action, Supernatural",57.0,24220,2021
Battle Athletess Daiundoukai: ReSTART!,"Action, Adventure, Sci-Fi, Sports",45.0,2764,2021
Meikyuu Black Company,"Comedy, Fantasy",70.0,57769,2021
Senpai ga Uzai Kouhai no Hanashi,"Comedy, Romance, Slice of Life",75.0,90296,2021
"Ijiranaide, Nagatoro-san","Comedy, Romance, Slice of Life",70.0,219604,2021
Shakunetsu Kabaddi,"Action, Drama, Sports",67.0,33093,2021
Healin' Good♥Precure: Yume no Machi de Kyun! Tto GoGo! Dai Henshin!!,"Action, Fantasy, Mahou Shoujo",71.0,1593,2021
Konbini Shoujo Z,Hentai,55.0,1251,2021
World Witches Hasshin Shimasu!,"Comedy, Sci-Fi",61.0,3420,2021
Cardfight!! Vanguard: overDress,"Action, Adventure",58.0,5276,2021
Kaizoku Oujo,"Action, Adventure, Romance",69.0,57743,2021
Yakunara Mug Cup Mo,"Comedy, Slice of Life",63.0,17393,2021
Yuuki Yuuna wa Yuusha de Aru: Dai-Mankai no Shou,"Action, Drama, Fantasy, Mahou Shoujo, Psychological",73.0,8763,2021
Utau Soccer Panda Mifanda,"Music, Slice of Life",,115,2021
Mashiro no Oto,"Drama, Music",73.0,42019,2021
Heion Sedai no Idaten-tachi,"Action, Adventure, Fantasy",74.0,51939,2021
Peach Boy Riverside,"Adventure, Fantasy",60.0,50826,2021
Ijirare: Fukushuu Saimin,Hentai,71.0,6458,2021
Toutotsu ni Egypt Shin,"Comedy, Fantasy, Slice of Life, Supernatural",62.0,3213,2021
Shin Tennis no Ouji-sama: Hyoutei vs Rikkai - Game of Future,Sports,64.0,1693,2021
Sayonara Watashi no Cramer,"Drama, Sports",56.0,15000,2021
Sayonara Watashi no Cramer: First Touch,"Drama, Sports",68.0,4651,2021
Kai Byoui Ramune,"Drama, Psychological, Supernatural",69.0,22891,2021
Praeter no Kizu,"Action, Fantasy, Sci-Fi",51.0,10040,2021
Seijo no Maryoku wa Bannou desu,"Fantasy, Romance, Slice of Life",71.0,59463,2021
Ai no Utagoe wo Kikasete,"Music, Sci-Fi",76.0,34159,2021
Horimiya,"Comedy, Romance, Slice of Life",81.0,403879,2021
Girls und Panzer: Saishuushou 3,"Action, Sports",81.0,9436,2021
Gekidol,"Drama, Psychological, Sci-Fi",52.0,6692,2021
Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha,"Drama, Fantasy, Slice of Life, Supernatural",79.0,9535,2021
Otona no Bouguya-san II,"Comedy, Ecchi, Fantasy",50.0,4763,2021
Sword Art Online: Progressive - Hoshinaki Yoru no Aria,"Action, Adventure, Fantasy, Romance",78.0,82017,2021
SK∞,"Action, Drama, Sports",79.0,198925,2021
Fruits Basket: The Final,"Comedy, Drama, Psychological, Romance, Slice of Life, Supernatural",89.0,142993,2021
Hanma Baki,"Action, Sports",76.0,46116,2021
Uma Musume: Pretty Derby Season 2,"Drama, Slice of Life, Sports",82.0,19903,2021
Yatogame-chan Kansatsu Nikki Sansatsume,"Comedy, Slice of Life",62.0,4101,2021
Himote House: Dai Panic! Minna de Gokiburi Taiji,"Comedy, Slice of Life",53.0,497,2021
Biohazard: Infinite Darkness,"Action, Horror, Sci-Fi",60.0,5093,2021
Idolls!,"Drama, Music, Supernatural",47.0,2263,2021
Dogeza de Tanondemita: Isekai-hen,"Comedy, Ecchi, Fantasy",53.0,7871,2021
Osananajimi ga Zettai ni Makenai Love Come,"Comedy, Romance",58.0,72584,2021
Godzilla: Singular Point,"Action, Mecha, Mystery, Sci-Fi",64.0,19767,2021
Wonder Egg Priority,"Action, Drama, Fantasy, Mystery, Psychological, Sci-Fi, Thriller",74.0,240598,2021
Yuukoku no Moriarty Part 2,"Drama, Mystery, Psychological, Thriller",81.0,69677,2021
Shadows House,"Fantasy, Horror, Mystery, Slice of Life, Supernatural",76.0,84377,2021
Ajisai no Chiru Koro ni,Hentai,61.0,3245,2021
Himawari wa Yoru ni Saku,Hentai,65.0,3404,2021
Tsuki ga Michibiku Isekai Douchuu,"Action, Adventure, Comedy, Fantasy",76.0,119627,2021
Hetalia World★Stars,Comedy,65.0,5673,2021
Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen OVA,"Comedy, Ecchi, Romance, Slice of Life",75.0,75429,2021
Gokushufudou,"Comedy, Slice of Life",71.0,130226,2021
Tenkuu Shinpan,"Action, Horror, Mystery",65.0,107898,2021
Kageki Shoujo!!,"Drama, Slice of Life",76.0,29908,2021
Haitoku no Kyoukai,Hentai,59.0,1555,2021
Kimi ga Suki. THE ANIMATION,"Hentai, Romance",64.0,3593,2021
Getter Robo Arc,"Action, Mecha, Sci-Fi",59.0,2561,2021
Misaki no Mayoiga,Fantasy,65.0,5498,2021
Bakuten!!,"Comedy, Drama, Sports",74.0,37080,2021
Hula Fulla Dance,"Comedy, Drama, Music, Slice of Life, Sports",59.0,2602,2021
Cestvs: The Roman Fighter,"Action, Drama, Sports",52.0,5278,2021
NIGHT HEAD 2041,"Drama, Mystery, Psychological, Sci-Fi, Supernatural",60.0,13147,2021
TSUKIPRO THE ANIMATION 2,Music,63.0,1512,2021
Sumikko Gurashi Movie: Aoi Tsukiyo no Mahou no Ko,Comedy,56.0,434,2021
Deatte 5-byou de Battle,"Action, Drama, Supernatural",66.0,57558,2021
Alice Gear Aegis: Doki! Actress Darake no Mermaid Grand Prix ♥,"Mecha, Sci-Fi, Slice of Life",52.0,1561,2021
Kanojo mo Kanojo,"Comedy, Ecchi, Romance, Slice of Life",63.0,103728,2021
"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni shimashita","Action, Adventure, Fantasy, Romance, Slice of Life",68.0,91786,2021
Jimihen!!: Jimiko wo Kaechau Jun Isei Kouyuu,"Hentai, Romance",59.0,7011,2021
"""Uchuu Senkan Yamato"" to Iu Jidai: Seireki 2202-nen no Sentaku","Action, Drama, Sci-Fi",66.0,1020,2021
Toushinki G's Frame,"Action, Mecha, Sci-Fi",52.0,1910,2021
Rikujoubu Joshi wa Ore no Nama Onaho!!! The Animation,Hentai,58.0,1880,2021
Seirei Gensouki,"Action, Drama, Fantasy, Romance",69.0,101180,2021
Real Eroge Situation! 2 The Animation,Hentai,66.0,2439,2021
Boku no Hero Academia THE MOVIE: World Heroes' Mission,"Action, Adventure, Sci-Fi",76.0,81545,2021
SD Gundam World Heroes,"Action, Mecha",48.0,864,2021
Yami Shibai 8,"Horror, Supernatural",53.0,3975,2021
SELECTION PROJECT,"Music, Slice of Life",70.0,16038,2021
Kyuukyoku Shinka Shita Full Dive RPG ga Genjitsu yori mo Kusogee Dattara,"Action, Comedy, Ecchi, Fantasy, Romance",62.0,67477,2021
Puraore!: PRIDE OF ORANGE,"Music, Slice of Life, Sports",59.0,9596,2021
Gintama: THE SEMI-FINAL,"Action, Comedy",82.0,25246,2021
Toilet no Hanako-san VS Kukkyou Taimashi,"Fantasy, Hentai, Supernatural",62.0,2692,2021
Motto! Majime ni Fumajime Kaiketsu Zorori 2nd Season,"Adventure, Comedy",,280,2021
Sankaku Mado no Sotogawa wa Yoru,"Drama, Mystery, Supernatural",63.0,14095,2021
Tropical-Rouge! Precure,"Action, Comedy, Fantasy, Mahou Shoujo",74.0,6209,2021
JK Fuuzoku Gakuensai,Hentai,68.0,3731,2021
Fate/Grand Carnival,"Comedy, Fantasy, Supernatural",75.0,17975,2021
Kakushigoto: Himegoto wa Nandesuka,"Comedy, Slice of Life",76.0,12645,2021
Ryuu to Sobakasu no Hime,"Drama, Music, Mystery, Sci-Fi",73.0,56414,2021
Crayon Shin-chan: Nazo Meki! Hana no Tenkasu Gakuen,Comedy,73.0,1202,2021
Jaku-Chara Tomozaki-kun OVA,"Comedy, Romance",67.0,18291,2021
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,"Action, Drama, Fantasy",66.0,41797,2021
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III OVA,"Action, Adventure, Comedy, Ecchi, Fantasy, Romance",67.0,23554,2021
Tonikaku Kawaii: SNS,"Comedy, Romance, Slice of Life",79.0,50677,2021
Shuumatsu no Valkyrie,"Action, Drama, Fantasy, Supernatural",66.0,93009,2021
World Trigger 3rd Season,"Action, Sci-Fi",82.0,28123,2021
Platinum End,"Drama, Mystery, Psychological, Romance, Supernatural",58.0,109543,2021
Taishou Otome Otogibanashi,"Comedy, Drama, Romance, Slice of Life",76.0,40799,2021
Youjo Shachou,Comedy,62.0,2026,2021
Aggressive Retsuko Season 4,"Comedy, Music, Slice of Life",72.0,15568,2021
Mahouka Koukou no Yuutousei,"Fantasy, Sci-Fi",64.0,31361,2021
Kintamani Dog,Slice of Life,,101,2021
PUI PUI Molcar,Comedy,78.0,8140,2021
Okashi na Sabaku no Suna to Manu,Fantasy,47.0,414,2021
ABCiee Shuugyou Nikki,Comedy,49.0,1098,2021
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,"Adventure, Drama, Ecchi, Fantasy",85.0,238543,2021
IDOLiSH7: Third BEAT!,"Drama, Music",81.0,6686,2021
Bear Bear Bear Kuma! Kumadam-hen,"Comedy, Mecha",58.0,1811,2021
Gyokou no Nikuko-chan,"Comedy, Drama, Slice of Life",69.0,4900,2021
Tadaima! Chibigodzilla Season 2,"Comedy, Fantasy, Slice of Life",47.0,195,2021
Re:Zero kara Hajimeru Kyuukei Jikan (Break Time) 2nd Season Part 2,"Adventure, Comedy, Fantasy",69.0,4302,2021
Doki Doki! Mini Mini! Kakushi Dungeon Gekijou,"Comedy, Fantasy",52.0,1137,2021
Itazura Guma no Gloomy,"Comedy, Horror, Slice of Life",47.0,3019,2021
Enen no Shouboutai Mini Anime,Comedy,57.0,2928,2021
Shikaruneko,Slice of Life,,455,2021
Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu,"Ecchi, Mahou Shoujo, Slice of Life",52.0,7628,2021
"Tooi Kimi ni, Boku wa Todokanai",Hentai,52.0,1526,2021
2.43 Mini Anime: inside story,"Slice of Life, Sports",42.0,393,2021
2.43 Mini Anime: Fukui-ben Kouza,"Slice of Life, Sports",42.0,383,2021
Gekidan Nanatsu no Taizai,"Comedy, Fantasy, Supernatural",53.0,1657,2021
Shiroi Suna no Aquatope,"Drama, Slice of Life, Supernatural",73.0,55522,2021
Vivy: Fluorite Eye’s Song,"Action, Drama, Music, Sci-Fi, Thriller",82.0,145599,2021
Odd Taxi,"Drama, Mystery, Psychological, Thriller",85.0,118314,2021
♪D4DJ Petit Mix,"Comedy, Music, Slice of Life",67.0,3050,2021
Sakusei Byoutou THE ANIMATION,Hentai,63.0,3437,2021
Assault Lily: FRUITS,"Comedy, Slice of Life",60.0,2057,2021
Blue Period,"Drama, Slice of Life",77.0,125450,2021
"Tantei wa mou, Shindeiru.","Comedy, Drama, Mystery, Romance, Supernatural",60.0,104185,2021
Shinkansen Henkei Robo Shinkalion Z,"Action, Mecha",54.0,728,2021
Nanatsu no Taizai: Hikari ni Norowareshi Mono-tachi,"Action, Adventure, Comedy, Ecchi, Fantasy",70.0,29674,2021
Cardfight!! Vanguard: overDress Season 2,"Action, Adventure",64.0,2312,2021
Aikatsu Planet!,Music,60.0,1947,2021
KanColle: Itsuka Ano Umi de,"Action, Sci-Fi",58.0,13381,2022
Musashino!,"Comedy, Slice of Life",41.0,2629,2022
Chikyuugai Shounen Shoujo,"Adventure, Sci-Fi",68.0,16430,2022
Shika no Ou: Yuna to Yakusoku no Tabi,"Action, Adventure, Drama, Fantasy",68.0,13562,2022
Renmei Kuugun Koukuu Mahou Ongakutai: Luminous Witches,Music,63.0,7938,2022
Yuru Camp△ Movie,"Comedy, Slice of Life",83.0,32605,2022
SPRIGGAN (ONA),"Action, Adventure, Sci-Fi",68.0,13988,2022
Vampire in the Garden,"Action, Adventure, Drama, Fantasy, Music, Sci-Fi",70.0,26155,2022
Sabiiro no Armor: Reimei,Action,28.0,1932,2022
ULTRAMAN Season 2,"Action, Drama, Sci-Fi",63.0,2884,2022
Inu-ou,"Adventure, Music, Supernatural",79.0,14540,2022
Tate no Yuusha no Nariagari Season 2,"Action, Adventure, Fantasy",65.0,192152,2022
Arifureta Shokugyou de Sekai Saikyou 2nd season,"Action, Adventure, Fantasy, Psychological",70.0,99008,2022
Utawarerumono: Futari no Hakuoro,"Action, Drama, Fantasy, Sci-Fi",73.0,10209,2022
Futsal Boys!!!!!,Sports,50.0,9647,2022
"DEEMO: Sakura no Oto - Anata no Kanadeta Oto ga, Ima mo Hibiku",Music,56.0,4878,2022
Jewelpet: Attack Travel!,"Fantasy, Mahou Shoujo",,351,2022
Made in Abyss: Retsujitsu no Ougonkyou,"Adventure, Drama, Fantasy, Horror, Mystery, Sci-Fi",85.0,118537,2022
Kidou Senshi Gundam: Tekketsu no Orphans - Urdr Hunt,"Action, Mecha, Sci-Fi",55.0,2757,2022
Date A Live IV,"Action, Comedy, Ecchi, Mecha, Romance, Sci-Fi",76.0,64773,2022
BLEACH: Sennen Kessen-hen,"Action, Adventure, Supernatural",88.0,144289,2022
Isekai Quartet: Another World,"Comedy, Fantasy",73.0,23979,2022
Tokyo Mew Mew New~♡,"Adventure, Comedy, Fantasy, Mahou Shoujo, Romance, Sci-Fi",64.0,16340,2022
TIGER & BUNNY 2,"Action, Comedy, Drama",73.0,6839,2022
Koukaku Kidoutai: SAC_2045 Season 2,"Action, Mystery, Psychological, Sci-Fi",66.0,4282,2022
BanG Dream! Poppin' Dream!,Music,78.0,4676,2022
Shuumatsu no Harem,"Ecchi, Sci-Fi",55.0,64855,2022
Kenja no Deshi wo Nanoru Kenja,"Adventure, Fantasy",59.0,33938,2022
Cyberpunk: Edgerunners,"Action, Drama, Psychological, Sci-Fi",85.0,245787,2022
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,"Drama, Fantasy, Slice of Life",79.0,41688,2022
Princess Connect! Re:Dive Season 2,"Action, Adventure, Comedy, Fantasy",77.0,36626,2022
Machikado Mazoku: 2-Choume,"Comedy, Fantasy, Mahou Shoujo, Slice of Life",78.0,23659,2022
Shenmue the Animation,"Action, Adventure, Drama",63.0,6245,2022
Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,"Action, Drama, Fantasy, Sci-Fi",80.0,6433,2022
Baraou no Souretsu,"Action, Drama, Supernatural",56.0,18993,2022
Uzaki-chan wa Asobitai! ω,"Comedy, Ecchi, Romance, Slice of Life",71.0,53817,2022
"Kanojo, Okarishimasu 2nd Season","Comedy, Drama, Romance",66.0,109457,2022
Jashin-chan Dropkick X,"Comedy, Slice of Life, Supernatural",73.0,12175,2022
Rikei ga Koi ni Ochita no de Shoumei shitemita. r=1-sinθ (Heart),"Comedy, Romance",71.0,41395,2022
Tsurune: Hajimari no Issha,"Drama, Slice of Life, Sports",72.0,7642,2022
Kaguya-sama wa Kokurasetai: Ultra Romantic,"Comedy, Psychological, Romance, Slice of Life",89.0,225329,2022
Rilakkuma to Yuuenchi,"Comedy, Slice of Life",67.0,1705,2022
Thermae Romae Novae,"Comedy, Slice of Life",70.0,8512,2022
CUE!,Music,63.0,8478,2022
VAZZROCK THE ANIMATION,Music,42.0,1917,2022
Sasaki to Miyano,"Comedy, Romance, Slice of Life",81.0,62159,2022
Watashi ni Tenshi ga Maiorita!: Precious Friends,"Comedy, Slice of Life",74.0,9076,2022
Doraemon: Nobita no Little Star Wars 2021,"Adventure, Comedy, Sci-Fi",69.0,1330,2022
Koroshi Ai,"Action, Psychological, Romance",67.0,50610,2022
Isekai Meikyuu de Harem wo,"Drama, Ecchi, Fantasy, Romance",63.0,61394,2022
Chainsaw Man,"Action, Drama, Horror, Supernatural",84.0,437746,2022
Slow Loop,"Slice of Life, Sports",71.0,23867,2022
Kawaii dake ja Nai Shikimori-san,"Comedy, Romance, Slice of Life",68.0,158847,2022
ORIENT,"Action, Adventure, Comedy, Fantasy",62.0,34108,2022
THE FIRST SLAM DUNK,Sports,87.0,21588,2022
Soredemo Ayumu wa Yosetekuru,"Comedy, Romance, Slice of Life",69.0,49029,2022
Saiyuuki RELOAD: ZEROIN,"Action, Adventure, Supernatural",60.0,3038,2022
Dolls' Frontline,"Action, Drama",53.0,16569,2022
IDOLiSH7: Third BEAT! Part 2,"Drama, Music, Psychological",82.0,4247,2022
Tensai Ouji no Akaji Kokka Saisei Jutsu,"Comedy, Fantasy",72.0,81475,2022
Shikkakumon no Saikyou Kenja,"Action, Adventure, Comedy, Fantasy, Romance, Slice of Life",61.0,70319,2022
"Tensei Kenja no Isekai Life: Daini no Shokugyo wo Ete, Sekai Saikyou ni Narimashita","Action, Adventure, Comedy, Fantasy",61.0,60583,2022
Shokei Shoujo no Virgin Road,"Action, Adventure, Drama, Fantasy",67.0,52198,2022
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou Meikyuu-hen,"Action, Adventure, Comedy, Fantasy, Romance",77.0,96009,2022
Summer Time Render,"Action, Drama, Mystery, Supernatural, Thriller",83.0,161655,2022
Bocchi the Rock!,"Comedy, Music, Slice of Life",87.0,180546,2022
Leadale no Daichi nite,"Adventure, Fantasy",68.0,44872,2022
Kage no Jitsuryokusha ni Naritakute!,"Action, Comedy, Fantasy",82.0,206135,2022
RPG Fudousan,"Comedy, Fantasy, Slice of Life",64.0,15639,2022
Mahouka Koukou no Rettousei: Tsuioku-hen,"Action, Romance, Sci-Fi, Supernatural",75.0,27606,2022
Totsukuni no Shoujo (2022),"Drama, Fantasy, Mystery",75.0,25744,2022
"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru","Action, Ecchi, Fantasy, Romance",62.0,80648,2022
Sabikui Bisco,"Action, Adventure, Fantasy",70.0,68497,2022
Hataraku Maou-sama!!,"Comedy, Fantasy, Romance, Slice of Life",66.0,128222,2022
Tongari Atama no Gonta: Futatsu no Namae wo Ikita Fukushima Hisai Inu no Monogatari ,Drama,,680,2022
Yama no Susume: Next Summit,"Adventure, Comedy, Slice of Life",76.0,8600,2022
Do It Yourself!!,Slice of Life,74.0,39608,2022
Go-toubun no Hanayome Movie,"Comedy, Drama, Romance, Slice of Life",78.0,83230,2022
Akebi-chan no Sailor Fuku,Slice of Life,75.0,58478,2022
Shingeki no Kyojin: The Final Season Part 2,"Action, Drama, Fantasy, Mystery, Psychological",86.0,329835,2022
Fuuto Tantei,"Action, Drama, Mystery, Supernatural",71.0,17815,2022
Koi wa Sekai Seifuku no Ato de,"Action, Comedy, Romance, Supernatural",73.0,65795,2022
Kakkou no Iinazuke,"Comedy, Romance",67.0,80323,2022
Uta no☆Prince-sama♪ Maji LOVE ST☆RISH Tours,Music,63.0,1433,2022
Dance Dance Danseur,"Drama, Romance, Slice of Life, Sports",76.0,26176,2022
RE:cycle of the PENGUINDRUM: Zenpen - Kimi no Ressha wa Seizon Senryaku,"Drama, Mystery, Psychological, Supernatural",71.0,6254,2022
"Kono Healer, Mendokusai","Adventure, Comedy, Fantasy, Slice of Life",58.0,18567,2022
Sono Bisque Doll wa Koi wo Suru,"Comedy, Ecchi, Romance, Slice of Life",80.0,291352,2022
"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu","Action, Adventure, Comedy, Fantasy",70.0,80127,2022
Build Divide: Code White,"Action, Sci-Fi",64.0,6037,2022
Deaimon,Slice of Life,74.0,27989,2022
Zannen na Ikimono Jiten The Movie,"Comedy, Slice of Life",,152,2022
Free!: the Final Stroke - Kouhen,"Drama, Sports",77.0,10109,2022
Mahoutsukai Reimeiki,"Action, Adventure, Comedy, Ecchi, Fantasy",62.0,43346,2022
Healer Girl,"Music, Slice of Life, Supernatural",71.0,13486,2022
Overlord IV,"Action, Adventure, Fantasy",80.0,132815,2022
Love Live! Nijigasaki Gakuen School Idol Doukoukai 2,"Music, Slice of Life",75.0,14553,2022
Dragon Ball Super: Super Hero,"Action, Adventure, Fantasy, Sci-Fi",76.0,38398,2022
Hairpin Double,Mecha,44.0,656,2022
Fantasy Bishoujo Juniku Oji-san to,"Adventure, Comedy, Fantasy, Romance",70.0,49075,2022
Aoashi,Sports,81.0,67645,2022
Vanitas no Carte Part 2,"Action, Drama, Fantasy, Mystery, Supernatural",81.0,80295,2022
Osomatsu-san: Hipipo-Zoku to Kagayaku Kajitsu,"Adventure, Comedy",55.0,1041,2022
Shachiku-san wa Youjo Yuurei ni Iyasaretai.,"Comedy, Slice of Life, Supernatural",68.0,11361,2022
Kaede to Suzu THE ANIMATION,Hentai,76.0,6237,2022
Reiwa no Di Gi Charat,Comedy,58.0,2007,2022
exception,"Horror, Sci-Fi, Thriller",57.0,3483,2022
Isekai Oji-san,"Adventure, Comedy, Fantasy",77.0,98132,2022
Ouji no Honmei wa Akuyaku Reijou,"Fantasy, Hentai, Romance",56.0,1972,2022
Bakuten!! Movie,"Comedy, Drama, Sports",76.0,7626,2022
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden Final SEASON - Asaki Yume no Akatsuki,"Drama, Mahou Shoujo, Psychological, Thriller",68.0,12099,2022
Seiken Densetsu: Legend of Mana - The Teardrop Crystal,"Adventure, Fantasy",52.0,6409,2022
Fruits Basket: prelude,"Drama, Romance",83.0,38154,2022
Strike the Blood FINAL,"Action, Ecchi, Fantasy, Supernatural",67.0,11731,2022
"Goodbye, Don Glees!","Adventure, Comedy, Drama",73.0,10597,2022
Shin Ikkitousen,"Action, Ecchi, Supernatural",57.0,6987,2022
Kaijin Kaihatsubu no Kuroitsu-san,"Comedy, Fantasy",65.0,17155,2022
Kobayashi-san Chi no Maidragon S: Nippon no Omotenashi (Attend wa Dragon desu),"Comedy, Fantasy, Slice of Life",77.0,25613,2022
Boku wa Chiisana Succubus no Shimobe,Hentai,67.0,2058,2022
Isekai Yakkyoku,Fantasy,72.0,61681,2022
"Mori no Kuma-san, Toumin-chuu.","Fantasy, Hentai, Romance",56.0,1241,2022
Mamahaha no Tsurego ga Motokano datta,"Comedy, Romance",66.0,80554,2022
Gensou Sangokushi: Tengen Reishinki,Fantasy,45.0,5924,2022
Aharen-san wa Hakarenai,"Comedy, Romance, Slice of Life",72.0,96116,2022
Hakozume: Kouban Joshi no Gyakushuu,"Comedy, Drama, Slice of Life",68.0,16163,2022
Non Non Biyori: Nonstop - Bukatsu wo Ganbatta,"Comedy, Slice of Life",80.0,8620,2022
Uchi no Shishou wa Shippo ga Nai,"Comedy, Fantasy, Slice of Life",64.0,9510,2022
Eien no 831,Supernatural,47.0,2988,2022
Hanabi-chan wa Okure-gachi,"Comedy, Fantasy, Slice of Life",58.0,2162,2022
Love All Play,Sports,62.0,12012,2022
Ani ni Tsukeru Kusuri wa Nai! 5,"Comedy, Slice of Life",71.0,4556,2022
Yojouhan Time Machine Blues,"Comedy, Mystery, Psychological, Romance, Sci-Fi",81.0,21017,2022
Blue Lock,"Action, Drama, Sports",81.0,232348,2022
Blue Thermal,"Drama, Sports",66.0,5907,2022
Karakai Jouzu no Takagi-san 3,"Comedy, Romance, Slice of Life",82.0,45928,2022
Karakai Jouzu no Takagi-san Movie,"Comedy, Romance, Slice of Life",84.0,23251,2022
Gunjou no Fanfare,"Drama, Sports",57.0,7567,2022
